series_id	year	period	value
CES6500000001    	1939	M01	        1381	          
CES6500000001    	1939	M02	        1384	          
CES6500000001    	1939	M03	        1387	          
CES6500000001    	1939	M04	        1389	          
CES6500000001    	1939	M05	        1399	          
CES6500000001    	1939	M06	        1406	          
CES6500000001    	1939	M07	        1411	          
CES6500000001    	1939	M08	        1412	          
CES6500000001    	1939	M09	        1424	          
CES6500000001    	1939	M10	        1415	          
CES6500000001    	1939	M11	        1421	          
CES6500000001    	1939	M12	        1428	          
CES6500000001    	1940	M01	        1433	          
CES6500000001    	1940	M02	        1440	          
CES6500000001    	1940	M03	        1447	          
CES6500000001    	1940	M04	        1455	          
CES6500000001    	1940	M05	        1460	          
CES6500000001    	1940	M06	        1465	          
CES6500000001    	1940	M07	        1469	          
CES6500000001    	1940	M08	        1478	          
CES6500000001    	1940	M09	        1487	          
CES6500000001    	1940	M10	        1496	          
CES6500000001    	1940	M11	        1501	          
CES6500000001    	1940	M12	        1507	          
CES6500000001    	1941	M01	        1516	          
CES6500000001    	1941	M02	        1526	          
CES6500000001    	1941	M03	        1536	          
CES6500000001    	1941	M04	        1551	          
CES6500000001    	1941	M05	        1558	          
CES6500000001    	1941	M06	        1563	          
CES6500000001    	1941	M07	        1575	          
CES6500000001    	1941	M08	        1583	          
CES6500000001    	1941	M09	        1587	          
CES6500000001    	1941	M10	        1594	          
CES6500000001    	1941	M11	        1601	          
CES6500000001    	1941	M12	        1606	          
CES6500000001    	1942	M01	        1611	          
CES6500000001    	1942	M02	        1608	          
CES6500000001    	1942	M03	        1615	          
CES6500000001    	1942	M04	        1623	          
CES6500000001    	1942	M05	        1626	          
CES6500000001    	1942	M06	        1632	          
CES6500000001    	1942	M07	        1640	          
CES6500000001    	1942	M08	        1644	          
CES6500000001    	1942	M09	        1647	          
CES6500000001    	1942	M10	        1649	          
CES6500000001    	1942	M11	        1645	          
CES6500000001    	1942	M12	        1645	          
CES6500000001    	1943	M01	        1649	          
CES6500000001    	1943	M02	        1653	          
CES6500000001    	1943	M03	        1655	          
CES6500000001    	1943	M04	        1655	          
CES6500000001    	1943	M05	        1656	          
CES6500000001    	1943	M06	        1658	          
CES6500000001    	1943	M07	        1658	          
CES6500000001    	1943	M08	        1658	          
CES6500000001    	1943	M09	        1663	          
CES6500000001    	1943	M10	        1666	          
CES6500000001    	1943	M11	        1671	          
CES6500000001    	1943	M12	        1674	          
CES6500000001    	1944	M01	        1661	          
CES6500000001    	1944	M02	        1668	          
CES6500000001    	1944	M03	        1670	          
CES6500000001    	1944	M04	        1667	          
CES6500000001    	1944	M05	        1666	          
CES6500000001    	1944	M06	        1671	          
CES6500000001    	1944	M07	        1668	          
CES6500000001    	1944	M08	        1669	          
CES6500000001    	1944	M09	        1667	          
CES6500000001    	1944	M10	        1665	          
CES6500000001    	1944	M11	        1667	          
CES6500000001    	1944	M12	        1668	          
CES6500000001    	1945	M01	        1659	          
CES6500000001    	1945	M02	        1667	          
CES6500000001    	1945	M03	        1666	          
CES6500000001    	1945	M04	        1666	          
CES6500000001    	1945	M05	        1666	          
CES6500000001    	1945	M06	        1681	          
CES6500000001    	1945	M07	        1692	          
CES6500000001    	1945	M08	        1706	          
CES6500000001    	1945	M09	        1711	          
CES6500000001    	1945	M10	        1733	          
CES6500000001    	1945	M11	        1753	          
CES6500000001    	1945	M12	        1773	          
CES6500000001    	1946	M01	        1797	          
CES6500000001    	1946	M02	        1819	          
CES6500000001    	1946	M03	        1839	          
